Date;Download;Upload;Ping
2020/07/26 02:50:25;89.41;89.21;4.49
2020/07/26 02:55:25;89.36;89.71;4.32
2020/07/26 03:00:25;88.82;89.39;4.26
2020/07/26 03:05:24;88.94;89.75;4.73
2020/07/26 03:10:24;89.23;89.22;4.42
2020/07/26 03:15:24;89.34;89.38;4.32
2020/07/26 03:20:24;89.31;88.87;4.18
2020/07/26 03:25:25;89.19;89.74;4.71
2020/07/26 03:30:25;88.87;89.19;4.1
2020/07/26 03:35:25;89.14;90.02;4.73
2020/07/26 03:40:24;89.12;89.42;4.04
2020/07/26 03:45:24;89.33;89.5;4.26
2020/07/26 03:50:24;89.21;89.53;4.19
2020/07/26 03:55:25;88.67;89.8;4.27
2020/07/26 04:00:25;89.36;89.4;4.36
2020/07/26 04:05:25;89.28;89.56;4.32
2020/07/26 04:10:25;89.28;89.31;4.52
2020/07/26 04:15:24;88.98;89.85;4.33
2020/07/26 04:20:24;89.35;89.35;4.24
2020/07/26 04:25:24;88.85;89.54;4.34
2020/07/26 04:30:24;89.04;89.25;5.8
2020/07/26 04:35:24;88.96;89.48;4.47
2020/07/26 04:40:24;89.1;89.39;4.16
2020/07/26 04:45:25;89.06;89.42;4.45
2020/07/26 04:50:25;89.06;89.39;4.61
2020/07/26 04:55:25;89.07;89.94;4.06
2020/07/26 05:00:24;89.25;89.68;4.73
2020/07/26 05:05:24;89.3;89.56;4.24
2020/07/26 05:10:24;89.38;89.7;4.28
2020/07/26 05:15:25;89.28;89.15;4.31
2020/07/26 05:20:25;89.37;89.7;4.69
2020/07/26 05:25:25;88.96;89.31;4.2
2020/07/26 05:30:24;89.45;89.54;4.34
2020/07/26 05:35:24;89.2;89.66;4.17
2020/07/26 05:40:24;89.32;89.59;4.3
2020/07/26 05:45:24;89.15;89.4;4.46
2020/07/26 05:50:25;87.42;89.55;4.14
2020/07/26 05:55:25;88.75;89.1;4.27
2020/07/26 06:00:25;89.28;89.62;4.12
2020/07/26 06:05:25;89.32;89.47;4.3
2020/07/26 06:10:24;89.31;89.66;4.31
2020/07/26 06:15:24;89.35;89.65;4.24
2020/07/26 06:20:24;89.18;89.69;4.59
2020/07/26 06:25:24;88.45;89.65;4.26
2020/07/26 06:30:24;89.33;89.74;4.21
2020/07/26 06:35:25;89.37;89.51;4.35
2020/07/26 06:40:25;89.37;89.59;4.37
2020/07/26 06:45:24;89.4;89.52;4.25
2020/07/26 06:50:24;89.15;89.51;4.04
2020/07/26 06:55:24;89.23;89.39;4.29
2020/07/26 07:00:25;89.03;89.28;4.16
2020/07/26 07:05:25;89.33;89.43;4.24
2020/07/26 07:10:25;89.08;89.5;4.06
2020/07/26 07:15:25;89.26;89.2;4.54
2020/07/26 07:20:25;89.16;89.52;3.98
2020/07/26 07:25:24;89.34;89.64;4.27
2020/07/26 07:30:24;88.72;89.31;4.21
2020/07/26 07:35:24;89.4;89.69;4.28
2020/07/26 07:40:24;89.27;89.73;4.39
2020/07/26 07:45:25;89.14;89.48;4.57
2020/07/26 07:50:25;89.22;89.52;4.46
2020/07/26 07:55:25;89.28;89.06;4.31
2020/07/26 08:00:24;88.73;89.38;4.8
2020/07/26 08:05:24;89.28;89.24;4.02
2020/07/26 08:10:24;89.23;89.71;4.26
2020/07/26 08:15:25;89.21;89.74;4.19
2020/07/26 08:20:25;89.17;89.62;4.46
2020/07/26 08:25:25;89.36;89.58;4.25
2020/07/26 08:30:24;89.38;89.46;4.35
2020/07/26 08:35:24;88.74;89.55;4.1
2020/07/26 08:40:24;89.3;89.43;4.29
2020/07/26 08:45:25;89.16;89.38;4.62
2020/07/26 08:50:25;89.33;89.47;4.75
2020/07/26 08:55:25;89.32;89.8;4.42
2020/07/26 09:00:24;89.13;89.5;4.12
2020/07/26 09:05:24;89.2;89.61;4.33
2020/07/26 09:10:25;89.3;89.61;4.27
2020/07/26 09:15:25;89.31;89.74;4.18
2020/07/26 09:20:25;89.09;89.34;4.21
2020/07/26 09:25:25;89.15;89.8;5.4
2020/07/26 09:30:24;89.24;89.45;4.34
2020/07/26 09:35:24;89.37;89.72;4.38
2020/07/26 09:40:25;89.13;89.52;4.23
2020/07/26 09:45:25;89.16;89.82;4.75
2020/07/26 09:50:25;89.06;89.13;4.6
2020/07/26 09:55:25;89.41;89.51;4.21
2020/07/26 10:00:24;89.09;89.48;4.65
2020/07/26 10:05:24;89.34;89.39;4.21
2020/07/26 10:10:24;89.21;88.94;4.19
2020/07/26 10:15:25;89.11;89.57;4.03
2020/07/26 10:20:25;89.26;89.53;4.21
2020/07/26 10:25:25;89.18;89.72;4.14
2020/07/26 10:30:25;89.41;89.45;4.22
2020/07/26 10:35:24;89.34;89.35;4.33
2020/07/26 10:40:24;89.05;89.29;4.12
2020/07/26 10:45:24;89.31;89.31;4.36
2020/07/26 10:50:25;89.18;89.73;4.05
2020/07/26 10:55:25;89.39;89.27;4.31
2020/07/26 11:00:25;89.24;89.46;4.2
2020/07/26 11:05:24;89.32;89.28;4.31
2020/07/26 11:10:24;89.11;89.63;4.03
2020/07/26 11:15:25;89.31;89.34;4.32
2020/07/26 11:20:24;89.1;89.2;4.0
2020/07/26 11:25:25;88.94;89.57;4.26
2020/07/26 11:30:25;89.28;89.4;4.32
2020/07/26 11:35:25;89.42;89.55;4.36
2020/07/26 11:40:24;88.98;89.78;4.13
2020/07/26 11:45:24;89.34;89.77;4.37
2020/07/26 11:50:25;89.31;89.63;4.21
2020/07/26 11:55:25;89.06;89.22;4.31
2020/07/26 12:00:25;88.8;89.49;4.65
2020/07/26 12:05:24;88.95;89.56;4.54
2020/07/26 12:10:24;89.4;89.56;4.22
2020/07/26 12:15:24;89.12;89.12;4.1
2020/07/26 12:20:25;89.43;88.69;4.34
2020/07/26 12:25:25;89.2;89.12;4.14
2020/07/26 12:30:25;89.03;89.52;4.31
2020/07/26 12:35:25;89.15;89.39;4.71
2020/07/26 12:40:24;89.13;89.52;4.04
2020/07/26 12:45:24;89.39;89.6;4.27
2020/07/26 12:50:25;89.09;89.32;4.07
2020/07/26 12:55:25;89.31;89.56;4.37
2020/07/26 13:00:25;89.07;89.71;4.54
2020/07/26 13:05:25;89.0;89.65;4.69
2020/07/26 13:10:24;89.11;89.5;4.1
2020/07/26 13:15:24;89.35;89.7;4.3
2020/07/26 13:20:24;89.36;89.62;4.33
2020/07/26 13:25:25;89.34;89.77;4.32
2020/07/26 13:30:25;89.37;89.46;4.5
2020/07/26 13:35:25;89.37;89.34;4.17
2020/07/26 13:40:25;89.26;89.77;4.36
2020/07/26 13:45:25;88.99;89.8;4.28
2020/07/26 13:50:24;89.34;89.2;4.32
2020/07/26 13:55:24;89.19;89.32;4.14
2020/07/26 14:00:25;89.14;89.53;4.89
2020/07/26 14:05:25;89.1;89.49;4.22
2020/07/26 14:10:24;89.2;89.67;4.36
2020/07/26 14:15:24;89.09;89.65;4.36
2020/07/26 14:20:24;89.03;89.48;4.68
2020/07/26 14:25:25;89.19;89.66;4.08
2020/07/26 14:30:25;89.33;89.35;4.34
2020/07/26 14:35:25;89.33;89.44;4.25
2020/07/26 14:40:25;89.14;89.12;4.71
2020/07/26 14:45:24;88.97;89.51;4.66
2020/07/26 14:50:24;89.22;89.52;4.43
2020/07/26 14:55:24;89.36;89.35;4.28
2020/07/26 15:00:25;89.28;89.63;4.35
2020/07/26 15:05:25;89.04;89.52;4.5
2020/07/26 15:10:25;89.2;89.55;4.15
2020/07/26 15:15:24;89.4;89.57;4.2
2020/07/26 15:20:24;89.43;89.26;4.34
2020/07/26 15:25:24;89.32;89.58;4.36
2020/07/26 15:30:25;88.43;89.47;4.3
2020/07/26 15:35:25;89.18;89.53;4.34
2020/07/26 15:40:25;88.97;89.53;4.5
2020/07/26 15:45:24;89.09;89.71;4.56
2020/07/26 15:50:24;89.24;89.28;4.32
2020/07/26 15:55:24;89.29;89.66;4.36
2020/07/26 16:00:25;89.14;89.48;4.32
2020/07/26 16:05:25;89.36;89.76;4.66
2020/07/26 16:10:25;89.12;89.53;4.53
2020/07/26 16:15:24;89.35;89.53;4.29
2020/07/26 16:20:24;89.35;89.24;4.23
2020/07/26 16:25:24;89.37;89.74;4.29
2020/07/26 16:30:25;88.86;89.85;4.28
2020/07/26 16:35:25;89.28;89.5;4.27
2020/07/26 16:40:25;89.15;89.35;4.7
2020/07/26 16:45:25;89.37;89.47;4.21
2020/07/26 16:50:24;89.39;89.3;4.21
2020/07/26 16:55:24;89.35;89.59;4.49
2020/07/26 17:00:25;89.19;89.66;4.62
2020/07/26 17:05:25;89.38;89.61;4.25
2020/07/26 17:10:25;89.06;89.6;4.74
2020/07/26 17:15:25;89.34;89.47;4.27
2020/07/26 17:20:24;89.28;89.71;4.29
2020/07/26 17:25:24;89.03;89.46;4.35
2020/07/26 17:30:24;89.31;89.17;4.38
2020/07/26 17:35:25;89.13;89.39;4.74
2020/07/26 17:40:25;89.08;89.4;4.27
2020/07/26 17:45:25;88.91;89.42;4.69
2020/07/26 17:50:25;89.26;89.49;4.47
2020/07/26 17:55:24;89.4;89.56;4.42
2020/07/26 18:00:24;89.21;89.6;4.7
2020/07/26 18:05:25;89.23;89.51;4.3
2020/07/26 18:10:25;88.99;86.55;5.06
2020/07/26 18:15:25;89.18;89.39;4.52
2020/07/26 18:20:24;89.4;89.33;4.27
2020/07/26 18:25:24;89.35;89.79;4.41
2020/07/26 18:30:24;86.87;89.41;4.71
2020/07/26 18:35:25;88.81;89.57;4.3
2020/07/26 18:40:25;89.27;89.57;4.41
2020/07/26 18:45:24;89.33;89.82;4.13
2020/07/26 18:50:24;89.33;89.21;4.45
2020/07/26 18:55:24;88.63;89.71;4.33
2020/07/26 19:00:25;89.01;89.7;4.65
2020/07/26 19:05:25;89.33;89.62;4.31
2020/07/26 19:10:25;89.2;89.63;4.37
2020/07/26 19:15:24;89.38;89.43;4.32
2020/07/26 19:20:24;89.16;89.05;4.61
2020/07/26 19:25:24;89.46;89.61;4.39
2020/07/26 19:30:25;89.4;89.8;4.26
2020/07/26 19:35:25;89.31;89.32;4.37
2020/07/26 19:40:25;89.33;89.71;4.35
2020/07/26 19:45:24;89.34;89.17;4.3
2020/07/26 19:50:24;89.05;89.64;4.6
2020/07/26 19:55:25;89.41;89.26;4.31
2020/07/26 20:00:25;89.23;89.74;4.68
2020/07/26 20:05:25;89.08;89.1;4.07
2020/07/26 20:10:24;89.31;89.65;4.37
2020/07/26 20:15:24;89.19;89.55;4.08
2020/07/26 20:20:24;88.48;89.71;4.7
2020/07/26 20:25:24;89.14;89.41;4.33
2020/07/26 20:30:25;89.02;89.52;4.33
2020/07/26 20:35:25;89.32;89.5;4.3
2020/07/26 20:40:25;89.26;89.25;4.32
2020/07/26 20:45:24;88.96;89.44;4.71
2020/07/26 20:50:24;89.28;89.36;3.99
2020/07/26 20:55:24;89.0;89.65;4.26
2020/07/26 21:00:25;89.36;89.62;4.26
2020/07/26 21:05:25;89.24;89.49;4.27
2020/07/26 21:10:24;89.26;89.45;4.41
2020/07/26 21:15:24;89.04;89.59;4.62
2020/07/26 21:20:24;89.25;89.18;5.08
2020/07/26 21:25:24;89.37;89.7;4.25
2020/07/26 21:30:25;88.99;89.59;4.61
2020/07/26 21:35:25;89.2;89.62;4.35
2020/07/26 21:40:25;88.83;89.29;4.54
2020/07/26 21:45:25;89.08;89.52;4.78
2020/07/26 21:50:24;89.28;89.54;4.39
2020/07/26 21:55:24;89.28;89.41;4.31
2020/07/26 22:00:25;88.88;89.62;4.19
2020/07/26 22:05:25;89.33;89.7;4.26
2020/07/26 22:10:25;89.23;89.58;4.28
2020/07/26 22:15:24;89.16;89.66;4.71
2020/07/26 22:20:24;89.32;89.34;4.52
2020/07/26 22:25:24;89.04;89.41;4.12
2020/07/26 22:30:24;89.32;89.69;4.28
2020/07/26 22:35:25;89.38;89.79;4.42
2020/07/26 22:40:25;89.17;89.17;4.14
2020/07/26 22:45:24;88.82;89.73;4.79
2020/07/26 22:50:24;89.36;89.91;4.45
2020/07/26 22:55:25;89.06;88.67;4.61
2020/07/26 23:00:25;89.3;89.37;4.49
2020/07/26 23:05:25;89.13;89.65;4.68
2020/07/26 23:10:25;88.94;89.53;4.34
2020/07/26 23:15:24;89.15;89.43;4.07
2020/07/26 23:20:24;89.18;89.88;4.73
2020/07/26 23:25:25;89.38;89.58;4.32
2020/07/26 23:30:25;89.34;89.7;4.21
2020/07/26 23:35:25;89.08;89.05;4.75
2020/07/26 23:40:24;89.27;89.59;4.26
2020/07/26 23:45:24;89.41;89.26;4.39
2020/07/26 23:50:25;89.04;89.57;4.62
2020/07/26 23:55:25;89.01;88.91;4.21
2020/07/27 00:00:25;89.06;89.78;4.57
2020/07/27 00:05:25;89.12;89.54;4.13
2020/07/27 00:10:25;89.27;89.39;4.75
2020/07/27 00:15:25;89.28;89.49;4.13
2020/07/27 00:20:25;89.35;89.69;4.33
2020/07/27 00:25:25;89.43;89.51;4.52
2020/07/27 00:30:24;89.31;89.39;4.5
2020/07/27 00:35:24;89.33;89.76;4.27
2020/07/27 00:40:24;89.19;89.7;4.84
2020/07/27 00:45:25;89.43;89.46;4.37
2020/07/27 00:50:25;89.13;89.45;4.41
2020/07/27 00:55:25;88.22;89.67;4.4
2020/07/27 01:00:25;89.3;89.86;4.73
2020/07/27 01:05:24;89.39;89.42;4.49
2020/07/27 01:10:24;89.21;89.44;4.75
2020/07/27 01:15:24;89.11;89.43;4.14
2020/07/27 01:20:24;89.38;89.22;4.56
2020/07/27 01:25:25;89.4;89.54;4.58
2020/07/27 01:30:25;89.0;89.06;4.37
2020/07/27 01:35:25;89.35;89.46;4.21
2020/07/27 01:40:25;89.26;89.46;4.74
2020/07/27 01:45:24;89.32;89.61;4.21
2020/07/27 01:50:24;89.21;89.66;4.43
2020/07/27 01:55:24;89.22;89.77;4.23
2020/07/27 02:00:25;88.97;89.7;4.57
2020/07/27 02:05:25;89.26;89.47;4.18
2020/07/27 02:10:25;89.3;89.23;4.24
2020/07/27 02:15:24;88.94;89.36;4.1
2020/07/27 02:20:24;89.14;89.4;4.65
2020/07/27 02:25:24;89.16;89.55;4.11
2020/07/27 02:30:24;89.31;89.43;4.64
2020/07/27 02:35:25;89.34;89.62;4.38
2020/07/27 02:40:25;89.25;89.69;4.16
2020/07/27 02:45:25;89.23;89.75;4.27
2020/07/27 02:50:24;89.14;89.53;4.18
2020/07/27 02:55:24;89.06;89.59;4.58
2020/07/27 03:00:25;89.3;89.47;4.07
2020/07/27 03:05:25;89.22;89.21;4.32
2020/07/27 03:10:25;89.37;89.53;4.78
2020/07/27 03:15:25;89.27;89.56;4.3
2020/07/27 03:20:24;89.23;89.83;4.35
2020/07/27 03:25:24;89.37;89.46;4.32
2020/07/27 03:30:24;88.79;89.75;4.21
2020/07/27 03:35:25;89.13;89.71;4.15
2020/07/27 03:40:25;89.37;89.61;4.22
2020/07/27 03:45:25;89.15;89.56;4.11
2020/07/27 03:50:25;89.31;89.5;4.26
2020/07/27 03:55:24;89.19;87.83;4.31
2020/07/27 04:00:24;89.06;89.46;5.11
2020/07/27 04:05:24;89.4;89.74;4.25
2020/07/27 04:10:25;88.92;89.13;4.48
2020/07/27 04:15:25;89.21;89.53;4.07
2020/07/27 04:20:25;88.96;89.49;4.56
2020/07/27 04:25:25;89.15;89.64;4.26
2020/07/27 04:30:24;88.97;89.5;4.37
2020/07/27 04:35:24;89.23;89.49;4.61
2020/07/27 04:40:24;88.68;89.36;4.37
2020/07/27 04:45:25;89.13;89.55;4.63
2020/07/27 04:50:25;89.4;89.23;4.39
2020/07/27 04:55:24;89.36;89.39;4.3
2020/07/27 05:00:24;89.11;89.7;4.68
2020/07/27 05:05:24;89.3;89.81;4.31
2020/07/27 05:10:24;89.34;89.34;4.33
2020/07/27 05:15:25;89.09;89.14;4.08
2020/07/27 05:20:25;89.3;89.25;4.45
2020/07/27 05:25:25;88.91;89.3;4.66
2020/07/27 05:30:24;88.86;89.54;4.72
2020/07/27 05:35:24;89.17;89.42;4.27
2020/07/27 05:40:24;89.08;89.28;4.58
2020/07/27 05:45:24;89.36;89.72;4.3
2020/07/27 05:50:25;89.29;89.75;4.45
2020/07/27 05:55:25;89.32;89.31;4.23
2020/07/27 06:00:25;89.25;89.55;4.57
2020/07/27 06:05:24;89.36;89.52;4.42
2020/07/27 06:10:24;89.13;89.25;4.72
2020/07/27 06:15:25;88.98;89.61;4.11
2020/07/27 06:20:25;89.36;89.1;4.39
2020/07/27 06:25:25;89.34;89.53;4.23
2020/07/27 06:30:25;88.88;89.63;4.58
2020/07/27 06:35:24;88.95;89.39;4.65
2020/07/27 06:40:24;89.31;89.17;4.28
2020/07/27 06:45:24;89.35;89.65;4.19
2020/07/27 06:50:25;89.35;89.61;4.24
2020/07/27 06:55:25;89.27;89.49;4.33
2020/07/27 07:00:24;80.25;89.59;4.54
2020/07/27 07:05:24;89.2;89.26;4.28
2020/07/27 07:10:24;89.12;89.27;4.63
2020/07/27 07:15:25;89.18;89.36;4.29
2020/07/27 07:20:25;89.33;89.46;4.25
2020/07/27 07:25:25;89.24;89.69;4.1
2020/07/27 07:30:24;89.05;89.65;4.77
2020/07/27 07:35:24;89.12;89.59;4.14
2020/07/27 07:40:24;89.29;89.45;4.25
2020/07/27 07:45:25;89.01;89.62;4.21
2020/07/27 07:50:25;89.16;89.62;4.29
2020/07/27 07:55:24;89.35;89.6;4.3
2020/07/27 08:00:24;89.21;89.45;4.65
2020/07/27 08:05:25;89.28;89.44;4.3
2020/07/27 08:10:25;89.38;89.47;4.24
2020/07/27 08:15:25;89.38;89.42;4.24
2020/07/27 08:20:25;89.36;89.8;4.24
2020/07/27 08:25:25;89.19;89.35;4.6
2020/07/27 08:30:24;89.31;89.94;4.41
2020/07/27 08:35:24;89.34;89.4;4.24
2020/07/27 08:40:24;89.4;89.34;4.26
2020/07/27 08:45:25;89.18;89.29;4.26
2020/07/27 08:50:24;89.33;89.52;4.18
2020/07/27 08:55:24;89.03;89.37;4.57
2020/07/27 09:00:24;89.19;89.57;4.23
2020/07/27 09:05:25;89.2;89.33;4.61
2020/07/27 09:10:25;89.32;89.31;4.05
2020/07/27 09:15:25;89.01;89.55;4.68
2020/07/27 09:20:25;89.16;89.34;4.2
2020/07/27 09:25:24;89.03;89.71;4.72
2020/07/27 09:30:24;89.05;89.84;4.05
2020/07/27 09:35:24;89.39;89.55;4.24
2020/07/27 09:40:25;89.25;89.24;4.62
2020/07/27 09:45:25;88.94;89.73;4.36
